trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.7, 'e': 0.27823569121384384}",20,3,-7.556653595133013,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
43,False,"{'a': 0.7, 'e': 0.2698886204774285}",20,12,6.689139076313967,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.7, 'e': 0.26179196186310566}",35,0,-76.14312753319047,"{0: 28, 1: 3, 2: 1, 3: 2, 4: 1}",0
45,False,"{'a': 0.7, 'e': 0.2539382030072125}",20,13,13.083047735432547,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.7, 'e': 0.2463200569169961}",25,7,-35.10297279060173,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
47,False,"{'a': 0.7, 'e': 0.23893045520948622}",25,15,20.86876137593446,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.7, 'e': 0.23176254155320164}",20,13,12.95560818721571,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.7, 'e': 0.2248096653066056}",20,0,28.19812384683285,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.7, 'e': 0.21806537534740741}",30,11,32.42929259724247,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.7, 'e': 0.2115234140869852}",20,6,23.712502927838237,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.7, 'e': 0.20517771166437562}",25,2,3.9334582413800243,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
53,False,"{'a': 0.7, 'e': 0.19902238031444436}",25,0,-80.23973779305653,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
54,False,"{'a': 0.7, 'e': 0.19305170890501103}",30,4,18.409501300941088,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 0}",1
55,False,"{'a': 0.7, 'e': 0.1872601576378607}",35,15,8.789258358647773,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.7, 'e': 0.18164235290872485}",20,0,-34.21946212410785,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
57,False,"{'a': 0.7, 'e': 0.1761930823214631}",25,0,21.297889774644457,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
58,False,"{'a': 0.7, 'e': 0.17090728985181922}",25,8,15.001598108375589,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.7, 'e': 0.16578007115626464}",20,7,10.961241041485705,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.7, 'e': 0.1608066690215767}",20,5,20.101347879112172,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.7, 'e': 0.1559824689509294}",30,13,23.088201415106635,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.7, 'e': 0.1513029948824015}",25,9,26.417006233488603,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.7, 'e': 0.14676390503592945}",25,10,14.237807231649995,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
64,False,"{'a': 0.7, 'e': 0.14236098788485158}",20,11,15.379197329315485,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.7, 'e': 0.13809015824830603}",25,5,31.616959462948294,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.7, 'e': 0.13394745350085685}",20,0,16.051810881858096,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
67,False,"{'a': 0.7, 'e': 0.12992902989583113}",30,18,-8.026727834272826,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
68,False,"{'a': 0.7, 'e': 0.1260311589989562}",20,13,-30.654364599380543,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
69,False,"{'a': 0.7, 'e': 0.12225022422898751}",25,3,30.131601931921253,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.7, 'e': 0.11858271750211788}",35,8,32.122760776640156,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.7, 'e': 0.11502523597705434}",30,9,-33.63338152088126,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 1}",1
72,False,"{'a': 0.7, 'e': 0.1115744788977427}",30,17,9.21689085135996,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.7, 'e': 0.10822724453081042}",25,10,12.181423982764171,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.7, 'e': 0.10498042719488611}",25,0,3.654103718693336,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
75,False,"{'a': 0.7, 'e': 0.10183101437903952}",25,17,17.82882060165863,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.7, 'e': 0.09877608394766833}",20,5,26.806027364401213,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.7, 'e': 0.09581280142923829}",20,13,0.825270142091376,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.7, 'e': 0.09293841738636113}",30,12,33.664406299438795,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.7, 'e': 0.09015026486477029}",25,16,-23.82510645256032,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
80,False,"{'a': 0.7, 'e': 0.08744575691882718}",25,11,26.243222123129193,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.7, 'e': 0.08482238421126237}",25,20,10.02339191295378,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.7, 'e': 0.0822777126849245}",25,0,40.54605825627368,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.7, 'e': 0.07980938130437676}",20,0,13.185838767508542,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
84,False,"{'a': 0.7, 'e': 0.07741509986524546}",25,15,17.639649097975923,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.7, 'e': 0.0750926468692881}",25,9,10.331145983342847,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.7, 'e': 0.07283986746320946}",20,4,7.205988518155614,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
87,False,"{'a': 0.7, 'e': 0.07065467143931317}",20,2,16.647566095175012,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.7, 'e': 0.06853503129613378}",35,23,20.55879543502772,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.7, 'e': 0.06647898035724976}",20,11,16.17778577037604,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.7, 'e': 0.06448461094653227}",25,0,34.53372658044303,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.7, 'e': 0.06255007261813629}",20,8,13.251026333918746,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.7, 'e': 0.0606735704395922}",20,8,-21.05253762469185,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
93,False,"{'a': 0.7, 'e': 0.05885336332640443}",25,13,21.162720687065207,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.7, 'e': 0.057087762426612294}",25,13,18.221120221510105,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.7, 'e': 0.05537512955381393}",25,4,25.329858207823982,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.7, 'e': 0.053713875667199505}",25,0,20.943699721353447,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
97,False,"{'a': 0.7, 'e': 0.05210245939718352}",20,2,25.63368311130303,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.7, 'e': 0.05053938561526801}",20,0,22.19467954277314,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
99,False,"{'a': 0.7, 'e': 0.049023204046809966}",30,17,22.00387460202068,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.7, 'e': 0.04755250792540567}",30,3,28.82682627645673,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.7, 'e': 0.0461259326876435}",20,15,9.595611876716182,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.7, 'e': 0.04474215470701419}",30,17,-18.274158625603324,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
103,False,"{'a': 0.7, 'e': 0.04339989006580376}",20,7,21.845580304079085,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.7, 'e': 0.042097893363829644}",20,8,23.188501140859557,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.7, 'e': 0.040834956562914755}",25,6,30.897774881715314,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.7, 'e': 0.03960990786602731}",20,14,12.426933550392867,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.7, 'e': 0.03842161063004649}",20,16,6.541283526289449,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.7, 'e': 0.03726896231114509}",20,12,15.849768593314819,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.7, 'e': 0.03615089344181074}",30,20,8.484133912444292,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.7, 'e': 0.03506636663855641}",35,17,18.63984141687248,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.7, 'e': 0.03401437563939972}",35,11,49.16063946222724,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.7, 'e': 0.03299394437021773}",25,13,21.050019887708846,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.7, 'e': 0.032004126039111194}",25,16,13.943262234590778,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.7, 'e': 0.031044002257937856}",30,15,31.244968704013253,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.7, 'e': 0.03011268219019972}",25,5,-22.679673572138856,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
116,False,"{'a': 0.7, 'e': 0.029209301724493725}",20,6,26.008646706188944,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.7, 'e': 0.028333022672758914}",20,10,19.24317537478059,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.7, 'e': 0.027483031992576144}",20,13,12.388215480179678,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.7, 'e': 0.026658541032798858}",35,13,41.79710732655919,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.7, 'e': 0.02585878480181489}",35,25,19.691449406266262,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.7, 'e': 0.025083021257760445}",20,13,15.700158328315347,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.7, 'e': 0.024330530620027633}",30,18,21.0265032439478,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.7, 'e': 0.023600614701426804}",20,6,21.637400779627004,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.7, 'e': 0.022892596260384}",20,11,14.7001653195216,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.7, 'e': 0.02220581837257248}",20,0,28.044670095291686,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
